Time,kappa,pos,vel,acc,p1,p2,f
0,0.45434559,0.5,0,-1.86E-15,3170846.154,4529153.846,8829
0.01,0.454288645,0.5,3.52E-15,-2.11E-13,3170846.154,4529153.846,8829
0.02,0.454119607,0.500000097,1.94E-05,0.003870177,3170075.72,4529924.468,8837.081772
0.03,0.453843822,0.500000736,0.000108473,0.013954235,3167771.251,4532229.139,8858.128988
0.04,0.453470059,0.500002848,0.000313937,0.027138681,3164076.734,4535923.812,8885.612324
0.05,0.453010301,0.500007701,0.000656667,0.041407371,3159157.955,4540842.748,8915.284622
0.06,0.452479464,0.500016689,0.001141019,0.055463431,3153192.846,4546807.964,8944.396692
0.07,0.451895035,0.500031195,0.001760024,0.068337883,3146393.875,4553607.025,8970.883851
0.08,0.451276656,0.500052487,0.002498464,0.079350807,3138990.219,4561010.713,8993.288096
0.09,0.450645652,0.500081654,0.003334895,0.087936276,3131240.252,4568760.679,9010.395209
0.1,0.450024506,0.500119543,0.004243044,0.093694337,3123412.181,4576588.692,9021.345682
0.11,0.449436313,0.500166723,0.005192961,0.096289797,3115791.337,4584209.444,9025.425245
0.12,0.448904201,0.500223448,0.006152008,0.095520344,3108661.485,4591339.161,9022.208509
0.13,0.448450752,0.500289637,0.007085826,0.091243687,3102309.079,4597691.415,9011.407632
0.14,0.448097419,0.500364862,0.007959244,0.083440248,3097006.128,4602994.201,8993.003353
0.15,0.447863965,0.500448344,0.008737214,0.072153333,3093012.729,4606987.451,8967.119602
0.16,0.447767923,0.500538958,0.00938569,0.057541135,3090561.953,4609438.108,8934.130842
0.17,0.447824106,0.500635249,0.009872523,0.039824316,3089861.581,4610138.416,8894.551019
0.18,0.448044162,0.500735453,0.010168287,0.019327051,3091081.295,4608918.707,8849.116931
0.19,0.448436191,0.50083753,0.01024708,-0.00357029,3094354.322,4605645.769,8798.687129
0.2,0.449004437,0.500939201,0.010087239,-0.028399927,3099767.103,4600233.169,8744.304319
0.21,0.449749054,0.501037998,0.009671999,-0.054650027,3107361.38,4592639.162,8687.102478
0.22,0.450665963,0.501131308,0.008990048,-0.081741954,3117126.473,4582874.422,8628.351885
0.23,0.451746793,0.501216439,0.008035992,-0.109070439,3129002.256,4570999.051,8569.373538
0.24,0.452978919,0.501290672,0.006810702,-0.13598803,3142874.146,4557127.613,8511.570048
0.25,0.45434559,0.501351334,0.005321547,-0.161842638,3158577.361,4541424.85,8456.346668
0.26,0.455826149,0.501395854,0.003582486,-0.18596803,3175894.71,4524107.921,8405.130795
0.27,0.457396351,0.501421837,0.001614039,-0.207718983,3194562.442,4505440.535,8359.299203
0.28,0.459028751,0.501427123,-0.000556906,-0.226466489,3214270.857,4485732.358,8320.18881
0.29,0.460693187,0.501409851,-0.002897412,-0.241630247,3234671.903,4465331.409,8289.030346
0.3,0.462357319,0.501368519,-0.005368973,-0.252676886,3255382.47,4444620.78,8266.953401
0.31,0.463987239,0.501302033,-0.007928129,-0.259148901,3275993.635,4424009.387,8254.927647
0.32,0.465548127,0.501209755,-0.010527219,-0.260663841,3296076.253,4403926.383,8253.76565
0.33,0.46700494,0.501091542,-0.013115256,-0.256938415,3315191.462,4384810.656,8264.073446
0.34,0.468323132,0.50094777,-0.015638901,-0.247786523,3332897.924,4367103.591,8286.254666
0.35,0.469469381,0.500779356,-0.018043534,-0.233137305,3348762.937,4351237.949,8320.472292
0.36,0.470412313,0.500587765,-0.020274378,-0.213030345,3362370.473,4337629.831,8366.657037
0.37,0.471123204,0.500375003,-0.022277661,-0.187626967,3373332.109,4326667.745,8424.481407
0.38,0.471576653,0.500143604,-0.02400179,-0.157201749,3381294.95,4318704.668,8493.374129
0.39,0.471751207,0.499896601,-0.025398509,-0.122147163,3385951.565,4314048.113,8572.506649
0.4,0.471629923,0.499637487,-0.026424017,-0.082961392,3387046.951,4312953.153,8660.814324
0.41,0.471200861,0.499370166,-0.027040017,-0.040247066,3384386.74,4315614.209,8756.994793
0.42,0.47045749,0.499098893,-0.027214683,0.005304107,3377842.471,4322159.766,8859.536155
0.43,0.469398999,0.498828202,-0.026923524,0.052917517,3367357.457,4332646.514,8966.726682
0.44,0.468030512,0.498562834,-0.026150118,0.101753607,3352949.724,4347056.387,9076.690364
0.45,0.466363183,0.498307651,-0.024886715,0.150918104,3334715.006,4365293.589,9187.407847
0.46,0.464414192,0.498067546,-0.023134677,0.199482116,3312826.823,4387184.496,9296.759938
0.47,0.462206611,0.497847351,-0.020904764,0.246495735,3287536.16,4412478,9402.559604
0.48,0.459769165,0.497651743,-0.018217229,0.291009812,3259168.287,4440848.684,9502.603307
0.49,0.457135875,0.49748515,-0.015101729,0.332092062,3228118.89,4471900.703,9594.712512
0.5,0.45434559,0.497351658,-0.011597048,0.368849571,3194847.54,4505174.33,9676.790454
0.51,0.451441415,0.497254922,-0.007750617,0.400445859,3159870.422,4540153.233,9746.868756
0.52,0.44847005,0.49719808,-0.003617838,0.426122311,3123750.831,4576273.993,9803.1639
0.53,0.445481034,0.497183685,0.000738768,0.445213787,3087089.191,4612936.096,9844.121334
0.54,0.442525926,0.497213632,0.005250586,0.457166432,3050511.519,4649513.475,9868.463204
0.55,0.43965742,0.497289104,0.009844077,0.461549037,3014657.943,4685366,9875.220729
0.56,0.436928416,0.497410532,0.014442063,0.458064702,2980170.485,4719851.693,9863.764646
0.57,0.43439107,0.497577565,0.01896509,0.446555762,2947681.541,4752338.254,9833.818375
0.58,0.432095823,0.497789051,0.023332849,0.427007937,2917802.39,4782214.54,9785.466151
0.59,0.430090443,0.498043039,0.02746559,0.399548261,2891112.896,4808900.855,9719.144616
0.6,0.42841909,0.49833679,0.031285526,0.364442291,2868151.764,4831858.693,9635.629713
