Time,kappa,pos*,vel*,p1*,p2*,f*,pos,vel,p1,p2,f
0,0.45434559,0.5,0,3170846.154,4529153.846,8829,0.5,0,3170846.154,4529153.846,8829
0.01,0.454288645,0.500000464,4.64E-05,3170048.381,4529951.822,8829,0.5,-1.54E-17,3170048.381,4529951.822,8829
0.02,0.454119607,0.500001394,9.29E-05,3167751.471,4532248.937,8839.584853,0.5,-3.08E-17,3167610.508,4532389.901,8839.584853
0.03,0.453843822,0.500002479,0.000108521,3163774.471,4536226.131,8860.362938,0.500000507,5.07E-05,3163686.739,4536313.866,8871.487835
0.04,0.453470059,0.500003892,0.000141368,3158389.376,4541611.404,8910.70127,0.500003048,0.000254138,3158560.348,4541440.433,8917.626675
0.05,0.453010301,0.500006589,0.000269696,3151890.591,4548110.342,8977.599878,0.500009836,0.00067882,3152510.61,4547490.318,8964.100204
0.06,0.452479464,0.500013776,0.000718649,3144837.77,4555163.281,9049.402335,0.500023105,0.0013269,3145759.137,4554241.897,9000.429653
0.07,0.451895035,0.500028899,0.001512327,3137522.942,4562478.179,9096.313594,0.500044612,0.002150709,3138489.47,4561511.622,9023.510652
0.08,0.451276656,0.500054225,0.002532679,3130053.985,4569947.147,9112.122631,0.50007549,0.003087961,3130894.258,4569106.834,9035.719494
0.09,0.450645652,0.50009149,0.003726643,3122661.416,4577339.665,9107.228554,0.500116368,0.004087901,3123207.788,4576793.248,9040.776571
0.1,0.450024506,0.500142054,0.005056674,3115615.701,4584385.268,9083.938012,0.500167542,0.005117664,3115707.877,4584293.048,9040.70913
0.11,0.449436313,0.50020631,0.00642598,3109106.178,4590894.628,9042.48807,0.500229079,0.006154117,3108695.386,4591305.384,9035.190575
0.12,0.448904201,0.500283704,0.007740048,3103325.887,4596674.722,8990.095993,0.5003008,0.007172556,3102468.791,4597531.795,9022.62228
0.13,0.448450752,0.500371834,0.008813715,3098322.874,4601677.53,8933.704106,0.500382198,0.008140551,3097306.571,4602693.822,9001.595438
0.14,0.448097419,0.500468115,0.009629008,3094381.298,4605618.919,8891.206119,0.500472378,0.009018799,3093460.314,4606539.901,8971.734315
0.15,0.447863965,0.500570638,0.010253392,3091889.669,4608110.407,8860.707891,0.500570029,0.009766003,3091154.192,4608845.884,8933.701487
0.16,0.447767923,0.500678045,0.010741833,3091185.558,4608814.446,8830.416251,0.500673456,0.010343784,3090584.933,4609415.072,8888.716395
0.17,0.447824106,0.500789055,0.011102258,3092496.775,4607503.248,8790.451031,0.500780638,0.010719316,3091918.894,4608081.126,8838.064037
0.18,0.448044162,0.500901895,0.01128526,3095919.757,4604080.393,8737.063445,0.500889282,0.010865605,3095286.326,4604713.814,8782.870153
0.19,0.448436191,0.501014146,0.011226323,3101477.886,4598522.509,8673.946942,0.500996878,0.010760721,3100774.826,4599225.546,8724.146979
0.2,0.449004437,0.501122917,0.01087827,3109165.91,4590834.848,8607.255985,0.50110074,0.010387245,3108424.054,4591576.661,8662.955817
0.21,0.449749054,0.501225138,0.010223106,3118964.339,4581036.884,8541.78382,0.501198056,0.009732515,3118222.626,4581778.532,8600.530274
0.22,0.450665963,0.501317785,0.00926553,3130827.317,4569174.452,8479.591078,0.501285943,0.008789477,3130106.981,4569894.696,8538.29207
0.23,0.451746793,0.501397977,0.008019863,3144661.666,4555340.696,8420.811627,0.501361513,0.007557611,3143961.545,4556040.695,8477.780851
0.24,0.452978919,0.501462981,0.006500816,3160312.928,4539690.031,8365.23271,0.501421945,0.006043539,3159619.608,4540383.197,8420.558797
0.25,0.45434559,0.501510198,0.004721856,3177564.102,4522439.41,8313.398847,0.501464555,0.004261163,3176864.809,4523138.515,8368.138857
0.26,0.455826149,0.501537186,0.002698877,3196143.756,4503860.216,8266.791773,0.501486869,0.002231471,3195433.429,4504570.32,8321.950757
0.27,0.457396351,0.501541733,0.000454743,3215736.836,4484267.456,8227.357631,0.501486691,-1.78E-05,3215017.777,4484986.258,8283.331122
0.28,0.459028751,0.501521948,-0.00197845,3235993.411,4464011.021,8196.91221,0.501462163,-0.002452751,3235270.848,4464733.295,8253.516038
0.29,0.460693187,0.501476346,-0.004559986,3256534.375,4443469.99,8176.800871,0.501411826,-0.005033457,3255812.216,4444191.834,8233.622541
0.3,0.462357319,0.501403913,-0.007242774,3276955.854,4423048.228,8167.885041,0.501334671,-0.007714854,3276234.996,4423768.751,8224.618329
0.31,0.463987239,0.501304147,-0.00997568,3296834.582,4403169.01,8170.71008,0.501230188,-0.010447292,3296113.672,4403889.574,8227.287216
0.32,0.465548127,0.501177002,-0.012712908,3315723.38,4384279.548,8185.667747,0.501098396,-0.013177451,3315012.584,4384989.995,8242.198681
0.33,0.46700494,0.501022117,-0.015486165,3333051.174,4366950.965,8213.993516,0.500939878,-0.015849375,3332494.916,4367506.887,8269.685936
0.34,0.468323132,0.500839605,-0.018247903,3348373.798,4351627.501,8266.282248,0.500755788,-0.018405611,3348132.008,4351868.986,8309.83243
0.35,0.469469381,0.500629834,-0.020972702,3361230.394,4338770.102,8343.552343,0.500547861,-0.020788403,3361512.824,4338487.42,8362.464408
0.36,0.470412313,0.500395082,-0.023469731,3371442.321,4328557.521,8449.250588,0.500318399,-0.022940912,3372253.369,4327746.287,8427.147371
0.37,0.471123204,0.500140166,-0.025485078,3378967.656,4321031.801,8566.612391,0.500070254,-0.024808441,3380005.835,4319993.502,8503.185687
0.38,0.471576653,0.499870427,-0.026966646,3383504.994,4316494.453,8670.786671,0.499806788,-0.026339636,3384467.257,4315532.129,8589.625897
0.39,0.471751207,0.499590539,-0.027980953,3384630.369,4315369.53,8760.475423,0.499531835,-0.027487652,3385387.495,4314612.396,8685.264603
0.4,0.471629923,0.499304456,-0.028600017,3381979.723,4318021.152,8847.83422,0.499249642,-0.028211263,3382576.352,4317424.565,8788.661465
0.41,0.471200861,0.499016001,-0.028837159,3375355.336,4324647.075,8944.788498,0.498964801,-0.02847588,3375909.672,4324092.824,8898.157299
0.42,0.47045749,0.498729433,-0.028648399,3364730.098,4335274.406,9055.230648,0.498682176,-0.028254464,3365334.283,4334670.343,9011.896957
0.43,0.469398999,0.498449644,-0.027970903,3350193.254,4349813.861,9175.103791,0.498406815,-0.027528321,3350871.622,4349135.641,9127.856762
0.44,0.468030512,0.498181964,-0.026760728,3331895.582,4368114.576,9296.952459,0.498143867,-0.026287749,3332619.936,4367390.388,9243.876537
0.45,0.466363183,0.497931813,-0.025008706,3310026.456,4389987.057,9414.409791,0.49789848,-0.024532544,3310754.919,4389258.765,9357.696501
0.46,0.464414192,0.49770441,-0.022734984,3284821.816,4415195.203,9524.08427,0.497675705,-0.022272335,3285528.706,4414488.482,9466.9993
0.47,0.462206611,0.497504621,-0.019974723,3256583.7,4443436.795,9624.910433,0.497480399,-0.019526741,3257267.143,4442753.511,9569.457145
0.48,0.459769165,0.497336922,-0.016767008,3225692.731,4474331.015,9716.465309,0.497317118,-0.016325349,3226365.343,4473658.544,9662.783584
0.49,0.457135875,0.497205386,-0.013151824,3192606.186,4507420.391,9797.697543,0.497190026,-0.012707478,3193281.536,4506745.157,9744.788811
0.5,0.45434559,0.497113647,-0.009173075,3157844.91,4542183.897,9866.649962,0.497102801,-0.00872174,3158529.353,4541499.539,9813.436809
0.51,0.451441415,0.497064815,-0.004882952,3121976.504,4578053.778,9920.932573,0.497058545,-0.004425389,3122668.699,4577361.632,9866.902092
0.52,0.44847005,0.497061374,-0.000344095,3085600.458,4614430.432,9958.377607,0.49705971,0.000116542,3086295.48,4613735.421,9903.623336
0.53,0.445481034,0.497105084,0.004371277,3049336.794,4650693.777,9977.4497,0.497108031,0.0048323,3050030.48,4650000.063,9922.351038
0.54,0.442525926,0.497196917,0.009184121,3013816.774,4686212.546,9977.306489,0.497204468,0.009644648,3014507.743,4685521.512,9922.186353
0.55,0.43965742,0.497337012,0.014011569,2979673.6,4720353.595,9957.644063,0.497349169,0.014472248,2980362.815,4719664.284,9902.608677
0.56,0.436928416,0.497525267,0.018829104,2947621.403,4752402.905,9918.518232,0.497541442,0.01923115,2948221.198,4751802.991,9863.49027
0.57,0.43439107,0.49776169,0.023648054,2918407.197,4781613.62,9853.09967,0.497779747,0.023836351,2918687.324,4781333.372,9805.09717
0.58,0.432095823,0.498045712,0.028410529,2892641.829,4807375.096,9750.548822,0.498061699,0.028203367,2892334.282,4807682.549,9728.076827
0.59,0.430090443,0.498373843,0.032824151,2870545.174,4829467.713,9608.720337,0.49838409,0.032249782,2869694.46,4830318.378,9633.433978
0.6,0.42841909,0.498739862,0.036615485,2852313.733,4847695.25,9454.001706,0.498742927,0.035896729,2851251.161,4848757.812,9522.497293
0.61,0.427121419,0.499136963,0.039726088,2838399.299,4861606.183,9311.191315,0.499133475,0.039070273,2837431.184,4862574.311,9396.879976
0.62,0.426231749,0.499558925,0.042214151,2829352.591,4870650.04,9180.270929,0.499550327,0.041702673,2828598.273,4871404.375,9258.437758
0.63,0.4257783,0.500000099,0.044136888,2825641.948,4874358.695,9048.273571,0.49998747,0.043733512,2825047.309,4874953.342,9109.227586
0.64,0.425782525,0.50045478,0.045488666,2827556.344,4872443.345,8903.40176,0.500438375,0.045110708,2826999.087,4873000.592,8951.469658
0.65,0.426258548,0.50091663,0.046206194,2835207.593,4864792.301,8742.4745,0.500896081,0.045791396,2834595.564,4865404.29,8787.514585
0.66,0.427212714,0.501378515,0.046209503,2848585.137,4851416.184,8570.380345,0.501353302,0.045742719,2847895.493,4852105.747,8619.816287
0.67,0.428643273,0.501832721,0.045440745,2867607.91,4832396.054,8395.266606,0.50180253,0.044942521,2866870.442,4833133.384,8450.910075
0.68,0.430540198,0.502271336,0.043880226,2892143.523,4807864.214,8223.985453,0.502236146,0.04337998,2891401.305,4808606.225,8283.394295
0.69,0.432885143,0.502686575,0.04154063,2921996.335,4778016.146,8060.240704,0.502646545,0.041056158,2921275.497,4778736.7,8119.913083
0.7,0.435651555,0.503070954,0.038452201,2956883.255,4743134.709,7905.320753,0.50302625,0.037984472,2956185.118,4743832.476,7963.137365
0.71,0.438804921,0.503417352,0.034651313,2996415.786,4703608.104,7759.894639,0.503368049,0.034191069,2995726.458,4704296.971,7815.741226
0.72,0.442303174,0.503719042,0.030177629,3040096.533,4659933.379,7625.388286,0.503665115,0.029715052,3039401.215,4660628.139,7680.371288
0.73,0.446097235,0.503969761,0.025077888,3087327.926,4612707.724,7504.314104,0.503911143,0.024608524,3086619.823,4613415.171,7559.607624
0.74,0.450131689,0.504163838,0.019411293,3137426.211,4562614.506,7399.778219,0.504100472,0.018936396,3136707.162,4563332.802,7455.916023
0.75,0.45434559,0.504296346,0.013252476,3189634.979,4510409.765,7314.760002,0.504228216,0.012775902,3188910.864,4511133.035,7371.592838
0.76,0.458673379,0.504363251,0.00669091,3243136.507,4456910.905,7251.639223,0.50429037,0.006215789,3242412.223,4457634.263,7308.705034
0.77,0.463045908,0.50436153,-0.000172048,3297062.479,4402986.007,7212.10716,0.504283922,-0.000644842,3296339.565,4403707.926,7269.029205
0.78,0.467391539,0.504289259,-0.007226614,3350506.535,4349541.295,7197.322843,0.504206936,-0.007698064,3349783.735,4350263.05,7253.99396
0.79,0.47163732,0.504145667,-0.014357319,3402540,4297505.438,7208.095239,0.504058625,-0.014828961,3401815.221,4298229.142,7264.630151
0.8,0.475710201,0.503931174,-0.021444901,3452230.367,4247811.065,7244.953172,0.503839402,-0.021917753,3451502.306,4248538.045,7301.532758
0.81,0.479538287,0.503647418,-0.028367872,3498660.994,4201375.076,7308.093919,0.503550901,-0.028842123,3497929.615,4202105.393,7364.837037
0.82,0.483052092,0.503295727,-0.035157269,3540714.359,4159315.346,7397.283618,0.503195984,-0.035479653,3540216.413,4159812.299,7454.209889
0.83,0.486185773,0.502877906,-0.041765294,3577449.571,4122573.228,7530.150231,0.502778713,-0.041710278,3577534.114,4122487.821,7568.855634
0.84,0.488878341,0.502398529,-0.04791544,3608355.053,4091660.85,7714.140051,0.502304308,-0.047418659,3609122.565,4090892.652,7707.533744
0.85,0.491074798,0.501866104,-0.053214939,3633193.92,4066815.704,7928.245189,0.501779075,-0.052496417,3634304.832,4065704.293,7868.584942
0.86,0.492727207,0.501290493,-0.057528577,3651441.696,4048562.848,8136.258823,0.501210316,-0.056844139,3652500.343,4047503.875,8049.961505
0.87,0.493795656,0.500681164,-0.060896151,3662427.247,4037573.93,8331.466274,0.500606224,-0.060373153,3663236.38,4036764.623,8249.25786
0.88,0.494249105,0.500046872,-0.063389146,3665566.753,4034433.184,8526.558184,0.499975757,-0.063007052,3666157.974,4033841.928,8463.738429
0.89,0.494066101,0.499396272,-0.065017498,3660518.632,4039482.492,8736.25675,0.499328506,-0.064682975,3661036.274,4038964.945,8690.361209
0.9,0.49323534,0.498738629,-0.065720485,3647206.343,4052798.552,8965.978347,0.498674545,-0.065352682,3647775.423,4052229.686,8925.797379
0.91,0.49175607,0.498084076,-0.06541157,3625755.669,4074255.58,9210.626082,0.498024279,-0.064983442,3626417.876,4073593.685,9166.449179
0.92,0.489638323,0.497443371,-0.064028184,3596422.301,4103597.7,9459.88951,0.497388274,-0.063558774,3597147.966,4102872.425,9408.470055
0.93,0.486902964,0.496827421,-0.061555619,3559557.252,4140473.54,9704.164285,0.496777096,-0.061079045,3560293.395,4139737.841,9647.79229
0.94,0.48358156,0.496246842,-0.058022684,3515613.33,4184429.767,9937.392154,0.496201129,-0.05756193,3516324.223,4183719.352,9880.167901
0.95,0.479716065,0.495711699,-0.053484147,3465168.816,4234887.437,10156.54187,0.495670405,-0.053042702,3465848.856,4234207.891,10101.22812
0.96,0.475358325,0.495231394,-0.048005989,3408942.988,4291126.521,10359.54687,0.495194422,-0.047574316,3409606.611,4290463.388,10306.56533
0.97,0.470569399,0.494814603,-0.04166063,3347791.948,4352290.111,10543.62973,0.494781968,-0.041227215,3348456.509,4351626.017,10491.83874
0.98,0.465418723,0.494469173,-0.034530151,3282687.675,4417405.436,10704.87938,0.494440956,-0.034088801,3283362.233,4416731.307,10652.90188
0.99,0.459983105,0.494201981,-0.026711606,3214689.645,4485412.304,10838.84717,0.494178256,-0.026262495,3215373.44,4484728.883,10785.94605
