Time,s1*,s1d*,s1dd*,s2*,s2d*,s2dd*,f*,E*,s1_ref,s1d_ref,s1dd_ref,s2_ref,s2d_ref,s2dd_ref,f_ref,E_ref
0.0,0.0,100.0,-30.0,0.0,-100.0,30.0,-20.0,10000.0,0.0,100.0,-30.0,0.0,-100.0,30.0,-20.0,10000.0
0.01,0.9949064344260804,98.76316116515012,-216.3241660051888,-0.9784280422638236,-94.29908114524,1097.0465387299498,-207.31946843937845,10001.551712940058,0.995022724148974,98.6601153237331,-236.42502735337325,-0.9786386708185604,-93.7663755038346,1204.624096948454,-216.60878857951025,9941.559905627097
0.02,1.9662998569351564,95.5232222213046,-408.885779167805,-1.836988232754611,-77.3781879318872,2151.044737256748,-390.0962356648329,9985.87954951677,1.9665372698838384,95.32513491628532,-426.81589936764647,-1.8379550293841305,-76.36269758754122,2243.209312320064,-397.6180131771795,9891.15523677502
0.03,2.895243722776266,90.49753536082308,-574.3461887773219,-2.473132565366698,-51.15226641003246,2964.753150331647,-546.1838576654119,9944.256855197971,2.8956061836622142,90.21801625651072,-589.0395281680037,-2.475051434764853,-49.74101237372584,3031.087200707956,-551.0616647057303,9853.790025550115
0.04,3.76559717197134,84.01227652441291,-703.1778449410352,-2.8091555686218745,-18.54348300626668,3448.5870581508066,-666.2213604175779,9878.906479073396,3.7660843162065434,83.66939678348051,-713.8769784599625,-2.8118678861313624,-16.87035707410451,3481.404117458322,-667.8491956195489,9830.27867168406
0.05,4.5649262833592985,76.46885963303806,-789.6108629621989,-2.8007391410598066,16.823916588697337,3549.381471295097,-744.5683665523438,9804.17931669925,4.565532995049193,76.08352990642706,-795.9449336530674,-2.803787877123213,18.59189495950538,3544.609938339195,-742.6812507119329,9817.359234051486
0.06,5.285035633384586,68.30300602861446,-832.1754141531026,-2.441821736896358,51.02313319767547,3256.151657563485,-779.8416527967123,9740.451323580084,5.2857541574682125,67.89704291162651,-834.1968407408614,-2.444548416408492,52.70366803816528,3213.827644479692,-774.5495948750165,9809.325889743024
0.07,5.922070871672551,59.94094365906223,-833.7749210335405,-1.765255639631715,80.25672966162622,2601.2127286617238,-774.986866769199,9705.197489600534,5.922894776079961,59.53502845259978,-831.9504146679942,-1.7669221234197603,81.67228733297445,2525.522858748397,-766.7679640619347,9800.465570675153
0.08,6.476189815163654,51.75750579713829,-801.2838427862102,-0.8391887626417709,101.27347246356318,1656.5456373155962,-736.8792629239879,9705.140064697433,6.477118836743552,51.36925640560416,-796.4402917166173,-0.8391049756579574,102.2712917208996,1555.4100241944889,-726.5321777086212,9787.27927283403
0.09,6.950846444601422,44.04067258988223,-744.7159632744564,0.2404233123045674,111.7243939163109,525.8187301244922,-675.498962361686,9732.922465823234,6.9518911767795535,43.68304195099307,-737.9467411865095,0.242784766407492,112.19420008690844,410.0553388074316,-664.0595252236146,9769.594960970204
0.1,7.351774023316219,36.96637478508054,-676.056060582932,1.3603456189999257,110.41913816774564,-667.0502463344199,-602.772772885504,9769.823193447455,7.352959496816847,36.64655759643875,-668.5977501674984,1.3652645593631063,110.30650065331932,-784.8917099887525,-591.403499439686,9750.175393560992
0.11,7.68578577510161,30.586238170622785,-607.8845029275516,2.4024711775211944,97.45468012891432,-1791.5291744756885,-531.2109306576563,9793.42737339366,7.687153223908424,30.305214838143723,-600.9774027257968,2.409936550673641,96.76839804394513,-1898.5380414751376,-521.0753490028982,9733.073956577691
0.12,7.959530648282252,24.82951574146459,-551.9466814913236,3.2567425528725478,74.20257021448896,-2724.8028549952664,-472.4892808296174,9787.030601262384,7.961137098823708,24.582293886322155,-546.6943951213511,3.266456334800438,73.015110464775,-2809.133051102433,-464.6247947444817,9721.5161513632
0.1300000000000001,8.178345598099137,19.51889013649201,-517.8248347204343,3.833169234794249,43.15640977886943,-3365.226702741044,-436.1330026738639,9746.77914488855,8.180261313580512,19.295427033982108,-515.0684974658611,3.844596137598229,41.59718674968761,-3417.4195146465404,-431.3363416266578,9716.262457277253
0.1400000000000001,8.345334151704408,14.398303454094346,-511.85815933842434,4.071624734164751,7.656592759269641,-3643.428753217288,-428.4464292240535,9683.48388524621,8.347638342779325,14.185015933595778,-512.0793914820581,4.084079609377805,5.898684726062775,-3657.4849713895055,-427.18450646090525,9715.169690302126
0.1500000000000001,8.460775101672688,9.169652479842378,-536.4294590441648,3.948353720396956,-28.477223209611463,-3529.8471512993333,-451.8061186604276,9618.286847566938,8.463550619576292,8.951352765442923,-539.6930925509433,3.9611130311413714,-30.235569585996497,-3503.927023104136,-454.162451078636,9714.122072337746
0.1600000000000001,8.521927888263944,3.534218942897494,-589.6960217115148,3.4784827650182963,-61.365397083515546,-3037.8840489242984,-504.3941458139621,9573.955714864973,8.525255799125125,3.296263536782694,-595.6393477615248,3.490902931781012,-62.92250328505782,-2974.5535180359107,-510.05716341659536,9708.890397889028
0.1700000000000001,8.523256702065355,-2.7658078397677004,-665.7934193727015,2.7142681987402457,-87.49322882623675,-2222.339587585377,-580.4000355897756,9565.430214704356,8.527211671946889,-3.0353976653868227,-673.6636124618581,2.725892500794349,-88.66658160212629,-2128.330807125208,-588.6950355089278,9697.065029710247
0.1800000000000001,8.457048477200074,-9.910359459421946,-755.4888875266939,1.739282795691919,-104.09490347484513,-1173.3082227963566,-670.6682013825937,9593.561531032085,8.461695769880833,-10.219048966874873,-764.2249338236262,1.7499199941910448,-104.7420834921401,-1058.8159048203252,-680.6298810215054,9679.17468073262
0.1900000000000001,8.31435590633848,-17.973202121516074,-847.2115782994551,0.6591880381390872,-109.45442963120064,-6.217085923570837,-763.7188448991953,9644.64084021094,8.319750527255286,-18.32258421387239,-855.562060074724,0.6689497879155702,-109.48997710974062,116.19602301896217,-774.1968132235584,9658.461841092008
0.2000000000000001,8.086160226571234,-26.905506850952477,-928.3457064203244,-0.4098881875721276,-103.09074696692234,1150.8921557755416,-847.0293799448184,9695.88023653022,8.092348375616607,-27.29060048186415,-935.0097260226868,-0.4005982700006868,-102.49697801164112,1267.663270116558,-856.8153023147071,9639.38082248038
0.2100000000000001,7.764623783288062,-36.5331380271292,-986.6439294169354,-1.354088232424002,-85.80695815483273,2171.436494065332,-908.4350314179,9724.521945296416,7.771646361560624,-36.94244095854123,-990.4197558201956,-1.3446340556306566,-84.63738677169543,2269.49533060827,-916.3975363004434,9625.456831628362
0.2200000000000001,7.344291974977999,-46.56801039306249,-1011.6053432367804,-2.074276085739449,-59.59859231609693,2944.172819838712,-937.4944223144224,9716.760877736611,7.352189489987813,-46.98432044057992,-1011.5303449046838,-2.0638902315048284,-57.973419436575,3012.39445549735,-942.7068820488636,9617.444625625283
0.2300000000000001,6.823109233503711,-56.63231709772923,-995.6666196895244,-2.496838427501997,-27.43128437562932,3385.364687744412,-926.6700708595724,9672.793735958428,6.831927127257181,-57.03424972021779,-991.1328393686056,-2.48475175452129,-25.525298622302916,3415.821277451576,-928.5169930680556,9612.620306920877
